route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
06240824-ST,20240827,20240827-ST-7622,ST - Old Elm GO,,0,06A,UNLI,1,1,
06240824-LW,20240827,20240827-LW-1722,LW - Union Station,,1,23A,WRUN,1,1,
06240824-ST,20240827,20240827-ST-7436,ST - Mount Joy GO,,0,62P,UNMJ,1,1,
06240824-LE,20240827,20240827-LE-9011,LE - Union Station,,1,28A,OSUN,1,2,
06240824-GT,20240827,20240827-GT-3035,KI - Bramalea GO,,0,67P,UNBE,1,1,
06240824-LE,20240827,20240827-LE-9309,LE - Union Station,,1,13A,OSUN,1,2,
06240824-LW,20240827,20240827-LW-1075,LW - Aldershot GO,,0,55P,UNAL,1,2,
06240824-BR,20240827,20240827-BR-6313,BR - Aurora GO,,0,57A,UNAU,1,1,
06240824-LW,20240827,20240827-LW-1256,LW - Union Station,,1,04A,ALUN,1,2,
06240824-LW,20240827,20240827-LW-1018,LW - Union Station,,1,12A,ALUN,1,1,
06240824-LE,20240827,20240827-LE-9140,LE - Durham College Oshawa GO,,0,19P,UNOS,1,1,
06240824-GT,20240827,20240827-GT-3519,KI - Mount Pleasant GO,,0,10P,UNMO,1,1,
06240824-LE,20240827,20240827-LE-9025,LE - Union Station,,1,04P,OSUN,1,1,
06240824-LE,20240827,20240827-LE-9206,LE - Durham College Oshawa GO,,0,12A,UNOS,1,1,
06240824-LE,20240827,20240827-LE-9237,LE - Union Station,,1,65P,OSUN,1,1,
06240824-LW,20240827,20240827-LW-1325,LW - Oakville GO,,0,67P,UNOA,1,2,
06240824-MI,20240827,20240827-MI-2727,MI - Milton GO,,0,56P,UNML,1,2,
06240824-LW,20240827,20240827-LW-1775,LW - West Harbour GO,,0,19P,UNWR,1,2,
06240824-LW,20240827,20240827-LW-1858,LW - Union Station,,1,19A,HAUN,1,2,
06240824-BR,20240827,20240827-BR-6314,BR - Union Station,,1,61A,AUUN,1,1,
06240824-GT,20240827,20240827-GT-3923,KI - Kitchener GO,,0,02P,UNKI,1,2,
06240824-LW,20240827,20240827-LW-1726,LW - Union Station,,1,28A,WRUN,1,1,
06240824-LW,20240827,20240827-LW-1023,LW - Aldershot GO,,0,03A,UNAL,1,1,
06240824-GT,20240827,20240827-GT-3627,KI - Georgetown GO,,0,51P,UNGE,1,2,
06240824-BR,20240827,20240827-BR-6908,BR - Union Station,,1,66A,ADUN,1,2,
06240824-GT,20240827,20240827-GT-3031,KI - Bramalea GO,,0,63P,UNBE,1,1,
06240824-LW,20240827,20240827-LW-1040,LW - Union Station,,1,19P,ALUN,1,1,
06240824-LE,20240827,20240827-LE-9026,LE - Durham College Oshawa GO,,0,14P,UNOS,1,2,
06240824-LE,20240827,20240827-LE-9229,LE - Union Station,,1,24A,OSUN,1,1,
06240824-LW,20240827,20240827-LW-1005,LW - Aldershot GO,,0,21A,UNAL,1,1,
06240824-LE,20240827,20240827-LE-9314,LE - Durham College Oshawa GO,,0,27A,UNOS,1,1,
06240824-MI,20240827,20240827-MI-2739,MI - Milton GO,,0,33P,UNML,1,2,
06240824-GT,20240827,20240827-GT-3312,KI - Union Station,,1,48A,BEUN,1,1,

deleted 68000 remaining lines.
