shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
339572,43.7378860,-79.6583670,896
339572,43.7382240,-79.6578080,895
339572,43.7385210,-79.6573350,894
339572,43.7386210,-79.6571720,893
339572,43.7394300,-79.6558350,892
339572,43.7396000,-79.6555500,891
339572,43.7401580,-79.6546350,890
339572,43.7407650,-79.6536020,889
339572,43.7409240,-79.6533240,888
339572,43.7411380,-79.6529830,887
339572,43.7413040,-79.6527130,886
339572,43.7416950,-79.6520970,885
339572,43.7419340,-79.6517340,884
339572,43.7421910,-79.6513320,883
339572,43.7425040,-79.6508730,882
339572,43.7427240,-79.6505610,881
339572,43.7430240,-79.6501120,880
339572,43.7433390,-79.6496740,879
339572,43.7435290,-79.6494140,878
339572,43.7438090,-79.6490390,877
339572,43.7439340,-79.6488660,876
339572,43.7444390,-79.6482190,875
339572,43.7449090,-79.6476400,874
339572,43.7452560,-79.6472220,873
339572,43.7455210,-79.6469220,872
339572,43.7462490,-79.6460950,871
339572,43.7471730,-79.6450620,870
339572,43.7477260,-79.6444300,869
339572,43.7478840,-79.6442430,868
339572,43.7480280,-79.6440750,867
339572,43.7482170,-79.6438560,866
339572,43.7486200,-79.6433880,865
339572,43.7486330,-79.6433690,864
339572,43.7487970,-79.6431660,863
339572,43.7489510,-79.6430060,862
339572,43.7493050,-79.6426110,861
339572,43.7499350,-79.6418760,860
339572,43.7500550,-79.6417380,859
339572,43.7507200,-79.6409340,858
339572,43.7510590,-79.6405520,857
339572,43.7510980,-79.6405030,856
339572,43.7511430,-79.6404500,855
339572,43.7513910,-79.6401330,854
339572,43.7515950,-79.6398590,853
339572,43.7518150,-79.6395420,852
339572,43.7520400,-79.6391950,851
339572,43.7522460,-79.6388690,850
339572,43.7524260,-79.6385620,849
339572,43.7525940,-79.6382640,848
339572,43.7527590,-79.6379530,847
339572,43.7529100,-79.6376590,846
339572,43.7530640,-79.6373440,845
339572,43.7532270,-79.6369920,844
339572,43.7533620,-79.6366800,843
339572,43.7535070,-79.6363100,842
339572,43.7536550,-79.6359030,841
339572,43.7538640,-79.6352910,840
339572,43.7539430,-79.6350410,839
339572,43.7540480,-79.6346760,838
339572,43.7541290,-79.6343740,837
339572,43.7542830,-79.6337650,836
339572,43.7544100,-79.6332670,835
339572,43.7546200,-79.6323220,834
339572,43.7546920,-79.6320280,833
339572,43.7547570,-79.6317750,832
339572,43.7548350,-79.6314670,831
339572,43.7548460,-79.6314000,830
339572,43.7549070,-79.6311330,829
339572,43.7550320,-79.6306630,828
339572,43.7553580,-79.6292920,827
339572,43.7556920,-79.6278830,826
339572,43.7561200,-79.6260690,825
339572,43.7564320,-79.6247790,824
339572,43.7565640,-79.6241940,823
339572,43.7566100,-79.6239870,822
339572,43.7567720,-79.6232820,821
339572,43.7568990,-79.6227690,820
339572,43.7570750,-79.6220390,819
339572,43.7575320,-79.6201080,818
339572,43.7577230,-79.6193240,817
339572,43.7578690,-79.6186940,816
339572,43.7581130,-79.6176650,815
339572,43.7582980,-79.6168920,814
339572,43.7584820,-79.6161400,813
339572,43.7585140,-79.6159940,812
339572,43.7587480,-79.6150430,811
339572,43.7589470,-79.6141940,810
339572,43.7591780,-79.6131850,809
339572,43.7593580,-79.6124260,808
339572,43.7599000,-79.6101440,807
339572,43.7599550,-79.6099180,806
339572,43.7601440,-79.6091570,805
339572,43.7602700,-79.6086670,804
339572,43.7605050,-79.6078210,803
339572,43.7606770,-79.6071950,802
339572,43.7611370,-79.6055870,801
339572,43.7615250,-79.6042500,800
339572,43.7616920,-79.6036830,799
339572,43.7620200,-79.6025930,798
339572,43.7622580,-79.6018480,797
339572,43.7624050,-79.6014070,796
339572,43.7625600,-79.6009350,795
339572,43.7627890,-79.6002640,794
339572,43.7630940,-79.5994100,793
339572,43.7634800,-79.5983550,792
339572,43.7638230,-79.5974350,791
339572,43.7643390,-79.5961270,790
339572,43.7650920,-79.5942370,789
339572,43.7654460,-79.5932780,788
339572,43.7655530,-79.5929860,787
339572,43.7658880,-79.5920530,786
339572,43.7661690,-79.5912390,785
339572,43.7665670,-79.5900280,784
339572,43.7669780,-79.5887230,783
339572,43.7672110,-79.5879850,782
339572,43.7676290,-79.5867420,781
339572,43.7680550,-79.5855440,780
339572,43.7683990,-79.5846260,779
339572,43.7688140,-79.5835700,778
339572,43.7689700,-79.5831750,777
339572,43.7690370,-79.5830060,776
339572,43.7696570,-79.5814600,775
339572,43.7699040,-79.5808700,774
339572,43.7701890,-79.5801510,773
339572,43.7706170,-79.5791200,772
339572,43.7718000,-79.5762800,771
339572,43.7724950,-79.5745760,770
339572,43.7727360,-79.5739750,769
339572,43.7727940,-79.5738290,768
339572,43.7728550,-79.5736910,767
339572,43.7732050,-79.5728570,766
339572,43.7738570,-79.5712910,765
339572,43.7741310,-79.5706250,764
339572,43.7741870,-79.5704890,763
339572,43.7745070,-79.5697260,762
339572,43.7746900,-79.5692790,761
339572,43.7748730,-79.5687970,760
339572,43.7749950,-79.5685010,759
339572,43.7754060,-79.5674970,758
339572,43.7761290,-79.5658550,757
339572,43.7764380,-79.5650790,756
339572,43.7767940,-79.5641690,755
339572,43.7770570,-79.5634960,754
339572,43.7774160,-79.5625100,753
339572,43.7781760,-79.5602310,752
339572,43.7784470,-79.5593160,751
339572,43.7786780,-79.5585570,750
339572,43.7788860,-79.5577750,749
339572,43.7789600,-79.5574930,748
339572,43.7793120,-79.5560300,747
339572,43.7795050,-79.5552410,746
339572,43.7796450,-79.5546230,745
339572,43.7797720,-79.5540520,744
339572,43.7798640,-79.5536170,743
339572,43.7803820,-79.5512300,742
339572,43.7806850,-79.5497140,741
339572,43.7811130,-79.5476790,740
339572,43.7815160,-79.5457800,739
339572,43.7815390,-79.5456570,738
339572,43.7816100,-79.5452860,737
339572,43.7818540,-79.5441180,736
339572,43.7822840,-79.5421290,735
339572,43.7828190,-79.5396000,734
339572,43.7831010,-79.5382310,733
339572,43.7831730,-79.5378920,732
339572,43.7832050,-79.5377300,731
339572,43.7832660,-79.5374560,730
339572,43.7833300,-79.5371990,729
339572,43.7834540,-79.5366290,728
339572,43.7835310,-79.5362480,727
339572,43.7836870,-79.5354590,726
339572,43.7838040,-79.5348970,725
339572,43.7839900,-79.5340880,724
339572,43.7846540,-79.5308160,723
339572,43.7852280,-79.5281050,722
339572,43.7854040,-79.5272550,721
339572,43.7856190,-79.5262470,720
339572,43.7857680,-79.5255610,719
339572,43.7859140,-79.5249100,718
339572,43.7861170,-79.5240280,717
339572,43.7862330,-79.5235150,716
339572,43.7862750,-79.5233380,715
339572,43.7863370,-79.5230680,714
339572,43.7867450,-79.5213070,713
339572,43.7869540,-79.5204310,712
339572,43.7876530,-79.5176690,711
339572,43.7877460,-79.5172690,710
339572,43.7881640,-79.5155780,709
339572,43.7883060,-79.5150380,708
339572,43.7885050,-79.5142240,707
339572,43.7893560,-79.5107390,706
339572,43.7896930,-79.5093250,705
339572,43.7898840,-79.5085410,704
339572,43.7899250,-79.5083700,703
339572,43.7899790,-79.5081650,702
339572,43.7901250,-79.5075700,701
339572,43.7901880,-79.5073020,700
339572,43.7902470,-79.5070240,699
339572,43.7903250,-79.5067440,698
339572,43.7905190,-79.5059440,697
339572,43.7910060,-79.5039460,696
339572,43.7912820,-79.5028670,695
339572,43.7916350,-79.5013630,694
339572,43.7923750,-79.4983150,693
339572,43.7925520,-79.4975560,692
339572,43.7925630,-79.4975070,691
339572,43.7925820,-79.4974340,690
339572,43.7927430,-79.4968230,689
339572,43.7928490,-79.4964300,688
339572,43.7929890,-79.4959290,687
339572,43.7931280,-79.4954780,686
339572,43.7933130,-79.4948930,685
339572,43.7935630,-79.4941470,684
339572,43.7937760,-79.4935670,683
339572,43.7940000,-79.4929820,682
339572,43.7942370,-79.4923920,681
339572,43.7943630,-79.4920930,680
339572,43.7944420,-79.4919100,679
339572,43.7949530,-79.4908330,678
339572,43.7951850,-79.4903300,677
339572,43.7958400,-79.4891280,676
339572,43.7961170,-79.4886400,675
339572,43.7964060,-79.4881600,674
339572,43.7967010,-79.4876910,673
339572,43.7969800,-79.4872780,672
339572,43.7971010,-79.4870890,671
339572,43.7973170,-79.4867880,670
339572,43.7976460,-79.4863470,669
339572,43.7979850,-79.4859240,668
339572,43.7983130,-79.4855210,667
339572,43.7986410,-79.4851290,666
339572,43.7988390,-79.4849210,665
339572,43.7990740,-79.4846730,664
339572,43.7993620,-79.4843750,663
339572,43.7996970,-79.4840540,662
339572,43.7998630,-79.4839010,661
339572,43.8000820,-79.4836830,660
339572,43.8002000,-79.4835850,659
339572,43.8004260,-79.4833960,658
339572,43.8007950,-79.4831030,657
339572,43.8011720,-79.4828190,656
339572,43.8015510,-79.4825500,655
339572,43.8019350,-79.4822960,654
339572,43.8023250,-79.4820570,653
339572,43.8027230,-79.4818330,652
339572,43.8031190,-79.4816220,651
339572,43.8035190,-79.4814300,650
339572,43.8039260,-79.4812490,649
339572,43.8043340,-79.4810830,648
339572,43.8047460,-79.4809340,647
339572,43.8051610,-79.4807970,646
339572,43.8053500,-79.4807440,645
339572,43.8055770,-79.4806770,644
339572,43.8059790,-79.4805810,643
339572,43.8060770,-79.4805550,642
339572,43.8065570,-79.4804640,641
339572,43.8068400,-79.4804150,640
339572,43.8072640,-79.4803570,639
339572,43.8076880,-79.4803120,638
339572,43.8081980,-79.4802750,637
339572,43.8084820,-79.4802640,636
339572,43.8089620,-79.4802240,635
339572,43.8094070,-79.4801970,634
339572,43.8104980,-79.4801280,633
339572,43.8107890,-79.4801080,632
339572,43.8120790,-79.4800180,631
339572,43.8125580,-79.4799810,630
339572,43.8129310,-79.4799360,629
339572,43.8134000,-79.4798560,628
339572,43.8138540,-79.4797440,627
339572,43.8141940,-79.4796450,626
339572,43.8145310,-79.4795280,625
339572,43.8148650,-79.4793990,624
339572,43.8151970,-79.4792520,623
339572,43.8154300,-79.4791440,622
339572,43.8158660,-79.4789340,621
339572,43.8162560,-79.4787120,620
339572,43.8165500,-79.4785280,619
339572,43.8168570,-79.4783200,618
339572,43.8170820,-79.4781570,617
339572,43.8173540,-79.4779390,616
339572,43.8176170,-79.4777120,615
339572,43.8177900,-79.4775510,614
339572,43.8181160,-79.4772330,613
339572,43.8182640,-79.4770990,612
339572,43.8183910,-79.4769690,611
339572,43.8184820,-79.4768770,610
339572,43.8185710,-79.4767950,609
339572,43.8187970,-79.4765570,608
339572,43.8189770,-79.4763580,607
339572,43.8193030,-79.4759930,606
339572,43.8194500,-79.4758170,605
339572,43.8196080,-79.4756210,604
339572,43.8197810,-79.4754020,603
339572,43.8200850,-79.4750020,602
339572,43.8202580,-79.4747800,601
339572,43.8204780,-79.4744700,600
339572,43.8206430,-79.4742320,599
339572,43.8208110,-79.4739760,598
339572,43.8209820,-79.4737110,597
339572,43.8211580,-79.4734470,596
339572,43.8213410,-79.4731510,595
339572,43.8215010,-79.4728760,594
339572,43.8216730,-79.4725640,593
339572,43.8217990,-79.4723060,592
339572,43.8219380,-79.4720460,591
339572,43.8220710,-79.4717810,590
339572,43.8223770,-79.4711510,589
339572,43.8227270,-79.4704230,588
339572,43.8230320,-79.4697740,587
339572,43.8232870,-79.4692140,586
339572,43.8237670,-79.4681300,585
339572,43.8240320,-79.4674950,584
339572,43.8248730,-79.4653800,583
339572,43.8252340,-79.4642990,582
339572,43.8255860,-79.4631940,581
339572,43.8257750,-79.4625570,580
339572,43.8258920,-79.4621510,579
339572,43.8260890,-79.4614220,578
339572,43.8263020,-79.4606400,577
339572,43.8264510,-79.4600250,576
339572,43.8266580,-79.4591180,575
339572,43.8268160,-79.4583820,574
339572,43.8269340,-79.4578270,573
339572,43.8271210,-79.4568370,572
339572,43.8275640,-79.4546790,571
339572,43.8276880,-79.4540430,570
339572,43.8277250,-79.4538900,569
339572,43.8278680,-79.4531940,568
339572,43.8279970,-79.4525690,567
339572,43.8282300,-79.4514650,566
339572,43.8283670,-79.4508390,565
339572,43.8286050,-79.4498040,564
339572,43.8288440,-79.4488020,563
339572,43.8290100,-79.4481250,562
339572,43.8290890,-79.4477770,561
339572,43.8291650,-79.4474790,560
339572,43.8292520,-79.4471510,559
339572,43.8299620,-79.4443410,558
339572,43.8303260,-79.4428610,557
339572,43.8304990,-79.4421450,556
339572,43.8306780,-79.4414270,555
339572,43.8310130,-79.4400570,554
339572,43.8315720,-79.4377850,553
339572,43.8316770,-79.4373620,552
339572,43.8320640,-79.4357840,551
339572,43.8323480,-79.4345810,550
339572,43.8324510,-79.4341590,549
339572,43.8326030,-79.4336160,548
339572,43.8327950,-79.4329870,547
339572,43.8328800,-79.4326930,546
339572,43.8329500,-79.4325030,545
339572,43.8335320,-79.4310030,544
339572,43.8342060,-79.4293230,543
339572,43.8343830,-79.4289230,542
339572,43.8344230,-79.4288260,541
339572,43.8344620,-79.4287390,540
339572,43.8345230,-79.4286610,539
339572,43.8345620,-79.4286210,538
339572,43.8346130,-79.4285550,537
339572,43.8346680,-79.4284440,536
339572,43.8347570,-79.4282390,535
339572,43.8348370,-79.4280640,534
339572,43.8348900,-79.4279660,533
339572,43.8349550,-79.4278420,532
339572,43.8350720,-79.4276340,531
339572,43.8351440,-79.4275040,530
339572,43.8352730,-79.4272810,529
339572,43.8353430,-79.4271760,528
339572,43.8353940,-79.4270900,527
339572,43.8354380,-79.4270220,526
339572,43.8354870,-79.4269550,525
339572,43.8355170,-79.4269190,524
339572,43.8355570,-79.4268770,523
339572,43.8355960,-79.4268430,522
339572,43.8356800,-79.4267920,521
339572,43.8357290,-79.4267730,520
339572,43.8357930,-79.4267630,519
339572,43.8358450,-79.4267590,518
339572,43.8358890,-79.4267630,517
339572,43.8359290,-79.4267730,516
339572,43.8359650,-79.4267870,515
339572,43.8360210,-79.4268150,514
339572,43.8360660,-79.4268480,513
339572,43.8361140,-79.4268850,512
339572,43.8361680,-79.4269510,511
339572,43.8362060,-79.4270090,510
339572,43.8362420,-79.4270770,509
339572,43.8362660,-79.4271450,508
339572,43.8362850,-79.4272180,507
339572,43.8362980,-79.4272770,506
339572,43.8363090,-79.4273550,505
339572,43.8363100,-79.4274280,504
339572,43.8363060,-79.4275350,503
339572,43.8362960,-79.4276280,502
339572,43.8362850,-79.4276960,501
339572,43.8362670,-79.4277820,500
339572,43.8362440,-79.4278700,499
339572,43.8362140,-79.4279610,498
339572,43.8361830,-79.4280340,497
339572,43.8361400,-79.4281210,496
339572,43.8360970,-79.4281940,495
339572,43.8360390,-79.4282800,494
339572,43.8359810,-79.4283510,493
339572,43.8359310,-79.4284060,492
339572,43.8358710,-79.4284600,491
339572,43.8357930,-79.4285180,490
339572,43.8357480,-79.4285450,489
339572,43.8356690,-79.4285830,488
339572,43.8355880,-79.4286120,487
339572,43.8355320,-79.4286220,486
339572,43.8354520,-79.4286340,485
339572,43.8353760,-79.4286410,484
339572,43.8352430,-79.4286380,483
339572,43.8351130,-79.4286560,482
339572,43.8349940,-79.4286710,481
339572,43.8348300,-79.4286800,480
339572,43.8347040,-79.4286520,479
339572,43.8345620,-79.4286210,478
339572,43.8345240,-79.4286110,477
339572,43.8343780,-79.4285770,476
339572,43.8343050,-79.4285660,475
339572,43.8341300,-79.4285180,474
339572,43.8336430,-79.4284250,473
339572,43.8335340,-79.4284060,472
339572,43.8327630,-79.4282390,471
339572,43.8324740,-79.4281730,470
339572,43.8323250,-79.4281360,469
339572,43.8323370,-79.4280500,468
339572,43.8323370,-79.4280500,467
339572,43.8323370,-79.4280500,466
339572,43.8323370,-79.4280500,465
339572,43.8323250,-79.4281360,464
339572,43.8319760,-79.4280480,463
339572,43.8319570,-79.4280510,462
339572,43.8318370,-79.4281140,461
339572,43.8315820,-79.4280570,460
339572,43.8312760,-79.4279930,459
339572,43.8311090,-79.4279550,458
339572,43.8308770,-79.4279020,457
339572,43.8305540,-79.4278270,456
339572,43.8296760,-79.4276210,455
339572,43.8292540,-79.4275220,454
339572,43.8288840,-79.4274360,453
339572,43.8288980,-79.4273220,452
339572,43.8288980,-79.4273220,451
339572,43.8288980,-79.4273220,450
339572,43.8288980,-79.4273220,449
339572,43.8288840,-79.4274360,448
339572,43.8287050,-79.4273940,447
339572,43.8280350,-79.4272360,446
339572,43.8277760,-79.4271700,445
339572,43.8271930,-79.4270320,444
339572,43.8269220,-79.4269720,443
339572,43.8269440,-79.4267860,442
339572,43.8269440,-79.4267860,441
339572,43.8269440,-79.4267860,440
339572,43.8269440,-79.4267860,439
339572,43.8269220,-79.4269720,438
339572,43.8267050,-79.4269230,437
339572,43.8265810,-79.4268970,436
339572,43.8263260,-79.4268320,435
339572,43.8261150,-79.4267750,434
339572,43.8259110,-79.4267250,433
339572,43.8255540,-79.4266450,432
339572,43.8253600,-79.4266020,431
339572,43.8250460,-79.4265270,430
339572,43.8248520,-79.4264790,429
339572,43.8248750,-79.4262930,428
